iter	Passed	Remaining
0	1	179
1	3	151
2	4	143
3	5	129
4	6	125
5	7	122
6	8	119
7	10	116
8	11	114
9	12	113
10	13	113
11	15	111
12	16	110
13	17	108
14	18	107
15	20	105
16	21	103
17	22	102
18	23	101
19	24	99
20	26	98
21	27	97
22	28	95
23	29	94
24	30	92
25	32	91
26	33	90
27	34	89
28	35	87
29	37	86
30	38	85
31	40	85
32	41	83
33	42	82
34	43	81
35	45	80
36	46	79
37	47	77
38	48	76
39	50	75
40	51	74
41	52	71
42	53	70
43	54	69
44	55	68
45	57	67
46	58	65
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	50
59	74	49
60	75	48
61	77	47
62	78	45
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	92	32
74	94	31
75	95	30
76	97	29
77	98	27
78	99	26
79	101	25
80	102	24
81	103	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	117	8
93	119	7
94	121	6
95	122	5
96	123	3
97	125	2
98	126	1
99	127	0
